1,Leo's Hot Dogs,2301 MISSION ST,Hot dogs and related toppings: non alcoholic beverages,37.76008693,-122.4188065
2,Ziaurehman Amini,5 THE EMBARCADERO,,37.794331,-122.3958111
3,Casita Vegana,Assessors Block 7283/Lot004,Coffee: Vegan Pastries: Vegan Hot Dogs: Vegan Tamales: Te: Vegan Shakes,37.72188971,-122.4925212
4,Sunset Mercantile/Outer Sunset Farmers Market & Mercantile,2155 37TH AVE,Multiple Food Trucks & Food Types,37.74732655,-122.4962807
5,El Calamar Perubian Food Truck,85 02ND ST,Lomo Saltado: Jalea: Ceviche: Calamar: Tilapia plate: chicken special. Soda: Water.,37.78845703,-122.3998842
6,"BOWL'D ACAI, LLC.",451 MONTGOMERY ST,Acai Bowls: Smoothies: Juices,37.79357693,-122.4032299
7,"BOWL'D ACAI, LLC.",200 LARKIN ST,Acai Bowls: Smoothies: Juices,37.78021548,-122.4160258
8,MOMO INNOVATION LLC,351 CALIFORNIA ST,Noodles: Meat & Drinks,37.79287075,-122.4007475
9,MOMO INNOVATION LLC,101 CALIFORNIA ST,MOMO Spicy Noodle: POPO's Noodle: Spicy Chicken Noodle: Rice Noodles,37.79294895,-122.3980986
10,Buenafe,220 RANKIN ST,Tacos: Burritos: Quesadillas: Tortas,37.74574924,-122.3924815
11,MOMO INNOVATION LLC,555 MISSION ST,Noodles,37.78844616,-122.3986412
12,Buenafe,750 PHELPS ST,Tacos: Burritos: Quesadillas: Tortas,37.73944545,-122.393015
13,MOMO INNOVATION LLC,1 BUSH ST,Noodles,37.79092151,-122.4001004
14,"BOWL'D ACAI, LLC.",15 MARINA BLVD,Acai Bowls: Poke Bowls: Smoothies: Juices,37.80457787,-122.4330108
15,HalalCartSF LLC,455 MARKET ST,Gyros: Kebabs: soft drinks: and water,37.79094704,-122.3986336
16,"BOWL'D ACAI, LLC.",111 BATTERY ST,Acai Bowls: Smoothies: Juices,37.79236679,-122.4001483
17,Philz Coffee Truck,735 MONTGOMERY ST,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.7962155,-122.4037546
18,Philz Coffee Truck,250 PINE ST,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.7922956,-122.4007069
19,Buenafe,901 16TH ST,Tacos burritos quesadillas tortas pupusas flautas tamales,37.76612469,-122.3954731
20,MOMO INNOVATION LLC,667 MISSION ST,Noodles: Meat & Drinks,37.78655805,-122.4010334
21,Truly Food & More,1500 GENEVA AVE,Latin Food: Tacos: Pupusas: Vegetables: Salad: Water: Sodas,37.7123026,-122.4316442
22,Philz Coffee Truck,401 CALIFORNIA ST,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.79279574,-122.4013533
23,Street Meet,306 VALENCIA ST,Burritos: Tacos: Tortas: Quesadillas & Various Drinks.,37.76785527,-122.4224844
24,Zuri Food Facilities,475 CALIFORNIA ST,Peruvian Food Served Hot,37.79234639,-122.4023853
25,Zuri Food Facilities,490 02ND ST,Peruvian Food Served Hot,37.7830461,-122.3940666
26,La Jefa,531 BAY SHORE BLVD,Tacos: burritos: quesadillas: tortas: nachos (refried beans: cheese sauce: salsa fresca): carnes (beef: chicken: marinated pork: fried pork): canned beans: rice: sodas: horchata drinks.,37.7387268,-122.406736
27,Philz Coffee Truck,15 MARINA BLVD,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.80457787,-122.4330108
28,Philz Coffee Truck,556 SUTTER ST,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.78938545,-122.4095913
29,Zuri Food Facilities,100 SPEAR ST,Peruvian Food Served Hot,37.79215055,-122.394
30,Tacos Rodriguez,1275 EVANS AVE,Tacos: burritos: quesadillas: soda & water,37.73911143,-122.382465
31,Tacos Rodriguez,2198 OAKDALE AVE,Tacos: burritos: quesadillas: soda & water,37.74099474,-122.4011723
32,Tacos Rodriguez,600 MENDELL ST,Tacos: burritos: quesadillas: soda & water,37.73967879,-122.3864934
33,Senor Sisig,101 CALIFORNIA ST,Senor Sisig: Filipino fusion food: tacos: burritos: nachos: rice plates. Various beverages.,37.79294895,-122.3980986
34,Senor Sisig,120 ELLIS ST,Filipino fusion food: taco: burrito: nachos: rice plates,37.78561009,-122.4081548
35,Think is Good Inc.,430 CALIFORNIA ST,Lobster rolls: crab rolls: lobster burritos: crab burritos: chicken burritos: fish burritos: chicken burritos: poke bowls: soups: chips & soda.,37.79326221,-122.4017891
36,Tacos Rodriguez,1 SANSOME ST,Tacos: burritos: quesadillas: soda & water,37.79048515,-122.4009404
37,Zuri Food Facilities,1601 MARIPOSA ST,Peruvian Food Served Hot,0,0
38,Think is Good Inc.,560 MISSION ST,Lobster rolls: crab rolls: lobster burritos: crab burritos: chicken burritos: fish burritos: chicken burritos: poke bowls: soups: chips & soda.,37.78886472,-122.3993594
39,Quan Catering,1575 BURKE AVE,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,37.74417845,-122.3867159
40,Liang Bai Ping,Assessors Block /Lot,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,0,0
